id,direction,from,to,date,4:00-5:00am,5:00-6:00am,6:00-7:00am,7:00-8:00am,8:00-9:00am
556,west,east,west,1994-02-15,22,46,76,84,66
557,north,south,north,1994-02-16,23,47,78,89,54
558,south,north,south,1994-02-17,36,51,68,88,64
559,east,west,east,1994-02-18,25,57,77,86,62
560,west,east,west,1994-02-19,37,56,73,83,56
561,north,south,north,1994-02-20,32,42,72,92,63
562,south,north,south,1994-02-21,27,60,80,76,74
563,east,west,east,1994-02-22,22,52,77,84,68
564,west,east,west,1994-02-23,30,54,70,85,63
565,north,south,north,1994-02-24,34,52,70,74,68
566,south,north,south,1994-02-25,28,61,82,89,59
567,east,west,east,1994-02-26,18,60,77,88,55
568,west,east,west,1994-02-27,32,46,79,78,74
569,north,south,north,1994-02-28,33,53,74,90,56
570,south,north,south,1994-03-01,27,67,96,100,65
571,east,west,east,1994-03-02,36,64,102,92,91
572,west,east,west,1994-03-03,23,60,103,108,62
573,north,south,north,1994-03-04,25,67,89,93,93
574,south,north,south,1994-03-05,45,62,98,107,78
575,east,west,east,1994-03-06,28,72,101,99,69
576,west,east,west,1994-03-07,41,69,95,102,68
577,north,south,north,1994-03-08,35,72,94,105,76
578,south,north,south,1994-03-09,35,68,84,97,75
579,east,west,east,1994-03-10,26,69,90,114,83
580,west,east,west,1994-03-11,24,55,95,92,70
581,north,south,north,1994-03-12,22,57,96,102,81
582,south,north,south,1994-03-13,28,72,91,113,79
583,east,west,east,1994-03-14,41,72,103,100,65
584,west,east,west,1994-03-15,38,67,97,97,94
585,north,south,north,1994-03-16,25,56,99,112,67
586,south,north,south,1994-03-17,37,53,104,110,92
587,east,west,east,1994-03-18,39,72,86,111,91
588,west,east,west,1994-03-19,34,66,86,108,76
589,north,south,north,1994-03-20,27,69,101,110,65
590,south,north,south,1994-03-21,42,64,97,105,66
591,east,west,east,1994-03-22,28,73,100,103,90
592,west,east,west,1994-03-23,24,65,91,96,68
593,north,south,north,1994-03-24,38,66,89,110,69
594,south,north,south,1994-03-25,34,68,97,99,93
595,east,west,east,1994-03-26,45,62,85,112,88
596,west,east,west,1994-03-27,25,55,89,97,82
597,north,south,north,1994-03-28,38,69,100,110,76
598,south,north,south,1994-03-29,35,72,92,103,82
599,east,west,east,1994-03-30,24,74,100,103,75
600,west,east,west,1994-03-31,30,64,102,111,69
601,north,south,north,1994-04-01,35,63,86,105,79
602,south,north,south,1994-04-02,36,57,101,98,94
603,east,west,east,1994-04-03,29,56,89,110,67
604,west,east,west,1994-04-04,26,60,96,110,75
605,north,south,north,1994-04-05,22,58,91,93,82
606,south,north,south,1994-04-06,32,58,90,94,91
607,east,west,east,1994-04-07,33,63,102,92,78
608,west,east,west,1994-04-08,31,75,96,106,71
609,north,south,north,1994-04-09,34,59,93,105,69
610,south,north,south,1994-04-10,41,57,95,96,72
611,east,west,east,1994-04-11,37,70,89,100,80
612,west,east,west,1994-04-12,40,53,97,97,74
613,north,south,north,1994-04-13,29,71,96,100,71
614,south,north,south,1994-04-14,31,54,86,99,76
615,east,west,east,1994-04-15,36,67,87,104,87
616,west,east,west,1994-04-16,34,55,106,95,75
617,north,south,north,1994-04-17,35,76,102,98,93
618,south,north,south,1994-04-18,46,72,99,114,76
619,east,west,east,1994-04-19,37,72,93,112,71
620,west,east,west,1994-04-20,40,61,89,98,71
621,north,south,north,1994-04-21,39,63,90,104,86
622,south,north,south,1994-04-22,38,73,94,95,90
623,east,west,east,1994-04-23,41,56,92,102,69
624,west,east,west,1994-04-24,42,73,87,111,71
625,north,south,north,1994-04-25,42,74,103,109,78
626,south,north,south,1994-04-26,33,55,101,97,75
627,east,west,east,1994-04-27,33,56,84,110,89
628,west,east,west,1994-04-28,37,62,99,99,81
629,north,south,north,1994-04-29,36,59,101,97,82
630,south,north,south,1994-04-30,31,69,87,96,66
631,east,west,east,1994-05-01,33,49,71,90,72
632,west,east,west,1994-05-02,22,42,76,84,65
633,north,south,north,1994-05-03,25,56,72,84,60
634,south,north,south,1994-05-04,31,53,75,82,68
635,east,west,east,1994-05-05,28,49,86,80,52
636,west,east,west,1994-05-06,24,49,67,80,65
637,north,south,north,1994-05-07,27,46,82,86,70
638,south,north,south,1994-05-08,33,53,74,82,50
639,east,west,east,1994-05-09,27,42,71,85,72
640,west,east,west,1994-05-10,32,59,78,77,65
641,north,south,north,1994-05-11,29,59,82,85,55
642,south,north,south,1994-05-12,30,47,78,89,53
643,east,west,east,1994-05-13,28,46,67,76,61
644,west,east,west,1994-05-14,37,48,78,84,75
645,north,south,north,1994-05-15,26,59,85,84,60
646,south,north,south,1994-05-16,31,53,71,76,50
647,east,west,east,1994-05-17,21,55,66,91,68
648,west,east,west,1994-05-18,31,61,79,86,58
649,north,south,north,1994-05-19,24,50,73,88,60
650,south,north,south,1994-05-20,29,52,79,80,54
651,east,west,east,1994-05-21,32,47,67,76,59
652,west,east,west,1994-05-22,24,56,77,82,62
653,north,south,north,1994-05-23,37,50,71,81,64
654,south,north,south,1994-05-24,22,42,79,83,65
655,east,west,east,1994-05-25,33,54,80,90,60
656,west,east,west,1994-05-26,30,50,86,82,73
657,north,south,north,1994-05-27,36,55,70,74,63
658,south,north,south,1994-05-28,34,42,66,83,53
659,east,west,east,1994-05-29,34,59,72,78,54
660,west,east,west,1994-05-30,20,45,83,76,63
661,north,south,north,1994-05-31,36,44,70,77,64
662,south,north,south,1994-06-01,23,45,62,79,60
663,east,west,east,1994-06-02,20,52,66,78,45
664,west,east,west,1994-06-03,25,48,74,79,52
665,north,south,north,1994-06-04,25,48,72,74,66
666,south,north,south,1994-06-05,17,42,65,71,58
667,east,west,east,1994-06-06,27,45,71,66,58
668,west,east,west,1994-06-07,27,43,65,75,60
669,north,south,north,1994-06-08,30,46,69,71,62
670,south,north,south,1994-06-09,27,50,65,79,59
671,east,west,east,1994-06-10,26,53,70,71,49
672,west,east,west,1994-06-11,24,48,68,67,61
673,north,south,north,1994-06-12,25,42,72,75,61
674,south,north,south,1994-06-13,18,37,71,69,62
675,east,west,east,1994-06-14,22,43,64,67,57
676,west,east,west,1994-06-15,21,43,65,79,51
677,north,south,north,1994-06-16,22,50,72,70,60
678,south,north,south,1994-06-17,21,37,71,74,46
679,east,west,east,1994-06-18,20,49,67,70,47
680,west,east,west,1994-06-19,29,43,69,67,58
681,north,south,north,1994-06-20,25,42,68,66,55
682,south,north,south,1994-06-21,29,46,65,83,51
683,east,west,east,1994-06-22,34,42,66,78,64
684,west,east,west,1994-06-23,34,45,68,78,51
685,north,south,north,1994-06-24,21,48,67,73,67
686,south,north,south,1994-06-25,22,42,70,73,49
687,east,west,east,1994-06-26,34,42,73,72,48
688,west,east,west,1994-06-27,22,40,67,67,67
689,north,south,north,1994-06-28,16,43,62,79,55
690,south,north,south,1994-06-29,23,41,65,66,61
691,east,west,east,1994-06-30,29,43,64,76,60
692,west,east,west,1994-07-01,18,29,51,54,39
693,north,south,north,1994-07-02,16,31,50,52,37
694,south,north,south,1994-07-03,20,36,45,49,32
695,east,west,east,1994-07-04,17,31,47,49,44
696,west,east,west,1994-07-05,21,35,50,52,43
697,north,south,north,1994-07-06,25,34,54,51,39
698,south,north,south,1994-07-07,17,29,49,60,47
699,east,west,east,1994-07-08,21,35,52,54,34
700,west,east,west,1994-07-09,21,30,48,51,36
701,north,south,north,1994-07-10,22,33,49,52,41
702,south,north,south,1994-07-11,18,29,55,60,45
703,east,west,east,1994-07-12,21,32,42,48,44
704,west,east,west,1994-07-13,16,38,46,58,40
705,north,south,north,1994-07-14,15,35,50,60,43
706,south,north,south,1994-07-15,19,32,48,50,40
707,east,west,east,1994-07-16,23,31,49,50,46
708,west,east,west,1994-07-17,15,35,53,56,43
709,north,south,north,1994-07-18,18,33,49,56,47
710,south,north,south,1994-07-19,15,36,46,61,33
711,east,west,east,1994-07-20,23,30,53,57,46
712,west,east,west,1994-07-21,21,41,46,55,46
713,north,south,north,1994-07-22,20,35,51,57,37
714,south,north,south,1994-07-23,13,34,53,60,46
715,east,west,east,1994-07-24,20,32,52,57,49
716,west,east,west,1994-07-25,20,32,52,54,33
717,north,south,north,1994-07-26,19,33,44,55,39
718,south,north,south,1994-07-27,15,34,44,57,49
719,east,west,east,1994-07-28,15,27,46,55,50
720,west,east,west,1994-07-29,21,27,42,58,39
721,north,south,north,1994-07-30,21,38,53,48,37
722,south,north,south,1994-07-31,16,30,44,50,36
723,east,west,east,1994-08-01,22,37,61,62,43
724,west,east,west,1994-08-02,27,39,61,63,45
725,north,south,north,1994-08-03,17,41,60,60,48
726,south,north,south,1994-08-04,25,44,55,67,51
727,east,west,east,1994-08-05,28,32,50,59,53
728,west,east,west,1994-08-06,26,32,59,66,40
729,north,south,north,1994-08-07,18,39,61,61,58
730,south,north,south,1994-08-08,27,33,61,64,50
731,east,west,east,1994-08-09,17,38,59,70,40
732,west,east,west,1994-08-10,19,38,59,64,55
733,north,south,north,1994-08-11,14,39,61,62,46
734,south,north,south,1994-08-12,28,41,53,62,51
735,east,west,east,1994-08-13,23,38,62,68,55
736,west,east,west,1994-08-14,27,39,54,70,48
737,north,south,north,1994-08-15,24,42,50,62,39
738,south,north,south,1994-08-16,24,43,61,65,44
739,east,west,east,1994-08-17,25,45,52,57,52
740,west,east,west,1994-08-18,18,34,54,62,55
741,north,south,north,1994-08-19,14,37,55,65,52
742,south,north,south,1994-08-20,18,42,59,58,52
743,east,west,east,1994-08-21,23,44,64,68,47
744,west,east,west,1994-08-22,25,40,53,58,57
745,north,south,north,1994-08-23,19,45,53,66,50
746,south,north,south,1994-08-24,20,44,56,56,60
747,east,west,east,1994-08-25,20,34,61,66,48
748,west,east,west,1994-08-26,16,33,64,67,48
749,north,south,north,1994-08-27,22,42,51,58,53
750,south,north,south,1994-08-28,22,41,53,60,56
751,east,west,east,1994-08-29,20,34,64,61,46
752,west,east,west,1994-08-30,22,42,52,62,60
753,north,south,north,1994-08-31,17,40,62,66,49
754,south,north,south,1994-09-01,19,50,66,89,64
755,east,west,east,1994-09-02,29,55,78,84,67
756,west,east,west,1994-09-03,27,50,82,78,56
757,north,south,north,1994-09-04,24,53,66,93,62
758,south,north,south,1994-09-05,36,50,68,74,52
759,east,west,east,1994-09-06,33,52,79,82,58
760,west,east,west,1994-09-07,30,49,74,79,55
761,north,south,north,1994-09-08,28,54,71,74,68
762,south,north,south,1994-09-09,34,44,76,93,54
763,east,west,east,1994-09-10,20,44,69,86,55
764,west,east,west,1994-09-11,30,51,66,78,54
765,north,south,north,1994-09-12,34,49,79,77,65
766,south,north,south,1994-09-13,30,53,78,80,63
767,east,west,east,1994-09-14,28,57,70,85,55
768,west,east,west,1994-09-15,18,43,76,90,59
769,north,south,north,1994-09-16,24,47,79,92,78
770,south,north,south,1994-09-17,37,47,70,86,53
771,east,west,east,1994-09-18,23,47,83,85,65
772,west,east,west,1994-09-19,28,46,82,87,61
773,north,south,north,1994-09-20,24,47,80,89,61
774,south,north,south,1994-09-21,33,43,72,78,52
775,east,west,east,1994-09-22,27,53,68,86,62
776,west,east,west,1994-09-23,26,62,73,89,63
777,north,south,north,1994-09-24,23,49,70,85,60
778,south,north,south,1994-09-25,20,56,80,86,51
779,east,west,east,1994-09-26,25,45,81,94,65
780,west,east,west,1994-09-27,36,47,75,90,63
781,north,south,north,1994-09-28,36,55,78,79,67
782,south,north,south,1994-09-29,30,58,84,88,68
783,east,west,east,1994-09-30,37,57,76,91,64
784,west,east,west,1994-10-01,39,62,85,96,83
785,north,south,north,1994-10-02,43,61,100,98,90
786,south,north,south,1994-10-03,41,71,104,99,81
787,east,west,east,1994-10-04,41,60,101,105,76
788,west,east,west,1994-10-05,32,60,98,116,92
789,north,south,north,1994-10-06,31,61,95,101,92
790,south,north,south,1994-10-07,27,70,93,113,86
791,east,west,east,1994-10-08,40,69,93,101,82
792,west,east,west,1994-10-09,39,69,106,111,94
793,north,south,north,1994-10-10,40,66,84,92,72
794,south,north,south,1994-10-11,29,70,85,109,83
795,east,west,east,1994-10-12,37,68,99,103,83
796,west,east,west,1994-10-13,35,56,85,102,76
797,north,south,north,1994-10-14,45,55,86,111,86
798,south,north,south,1994-10-15,43,54,86,112,65
799,east,west,east,1994-10-16,38,55,103,98,94
800,west,east,west,1994-10-17,34,70,93,110,74
801,north,south,north,1994-10-18,37,70,96,111,74
802,south,north,south,1994-10-19,41,54,98,104,68
803,east,west,east,1994-10-20,26,71,94,112,67
804,west,east,west,1994-10-21,24,68,87,96,92
805,north,south,north,1994-10-22,40,62,97,108,77
806,south,north,south,1994-10-23,42,66,97,114,69
807,east,west,east,1994-10-24,36,59,86,110,69
808,west,east,west,1994-10-25,25,75,90,101,83
809,north,south,north,1994-10-26,26,75,90,102,68
810,south,north,south,1994-10-27,24,64,90,109,81
811,east,west,east,1994-10-28,26,59,100,103,71
812,west,east,west,1994-10-29,38,64,104,109,82
813,north,south,north,1994-10-30,40,68,91,111,86
814,south,north,south,1994-10-31,28,60,82,98,86
815,east,west,east,1994-11-01,26,52,92,98,80
816,west,east,west,1994-11-02,27,69,83,85,85
817,north,south,north,1994-11-03,31,52,76,100,82
818,south,north,south,1994-11-04,20,59,87,87,67
819,east,west,east,1994-11-05,23,63,82,92,70
820,west,east,west,1994-11-06,31,54,94,87,76
821,north,south,north,1994-11-07,34,64,79,97,65
822,south,north,south,1994-11-08,30,66,92,85,68
823,east,west,east,1994-11-09,29,57,74,100,64
824,west,east,west,1994-11-10,24,47,76,99,68
825,north,south,north,1994-11-11,21,61,87,96,66
826,south,north,south,1994-11-12,30,59,92,93,72
827,east,west,east,1994-11-13,30,49,84,97,73
828,west,east,west,1994-11-14,24,66,86,102,60
829,north,south,north,1994-11-15,31,49,90,103,59
830,south,north,south,1994-11-16,30,52,82,101,81
831,east,west,east,1994-11-17,22,63,92,90,74
832,west,east,west,1994-11-18,32,49,83,99,72
833,north,south,north,1994-11-19,31,54,92,85,63
834,south,north,south,1994-11-20,39,50,89,89,67
835,east,west,east,1994-11-21,30,60,74,92,65
836,west,east,west,1994-11-22,31,63,81,97,82
837,north,south,north,1994-11-23,28,56,90,96,80
838,south,north,south,1994-11-24,30,55,78,92,68
839,east,west,east,1994-11-25,34,69,74,83,68
840,west,east,west,1994-11-26,25,60,83,88,70
841,north,south,north,1994-11-27,22,63,89,94,60
842,south,north,south,1994-11-28,21,49,75,98,85
843,east,west,east,1994-11-29,29,62,95,87,81
844,west,east,west,1994-11-30,41,49,82,96,59
845,north,south,north,1994-12-01,18,39,46,54,40
846,south,north,south,1994-12-02,15,29,56,48,48
847,east,west,east,1994-12-03,22,37,52,58,45
848,west,east,west,1994-12-04,12,29,44,47,45
849,north,south,north,1994-12-05,22,32,48,50,45
850,south,north,south,1994-12-06,14,30,46,55,43
851,east,west,east,1994-12-07,18,32,50,49,41
852,west,east,west,1994-12-08,16,36,46,54,44
853,north,south,north,1994-12-09,14,37,43,50,42
854,south,north,south,1994-12-10,22,35,53,50,42
855,east,west,east,1994-12-11,16,28,54,53,47
856,west,east,west,1994-12-12,20,32,51,59,41
857,north,south,north,1994-12-13,23,37,55,55,45
858,south,north,south,1994-12-14,13,33,52,54,43
859,east,west,east,1994-12-15,24,41,51,51,43
860,west,east,west,1994-12-16,17,32,48,50,42
861,north,south,north,1994-12-17,22,37,52,54,47
862,south,north,south,1994-12-18,18,32,47,53,36
863,east,west,east,1994-12-19,12,31,50,55,37
864,west,east,west,1994-12-20,19,40,45,60,45
865,north,south,north,1994-12-21,21,30,45,57,48
866,south,north,south,1994-12-22,20,31,51,61,41
867,east,west,east,1994-12-23,12,28,46,57,49
868,west,east,west,1994-12-24,13,28,52,51,44
869,north,south,north,1994-12-25,19,37,52,49,36
870,south,north,south,1994-12-26,14,40,45,56,38
871,east,west,east,1994-12-27,19,38,46,53,46
872,west,east,west,1994-12-28,17,29,48,50,44
873,north,south,north,1994-12-29,17,30,49,55,46
874,south,north,south,1994-12-30,19,27,44,60,45
875,east,west,east,1994-12-31,24,33,48,58,51
876,west,east,west,1995-01-01,26,36,61,66,45
877,north,south,north,1995-01-02,24,43,57,63,62
878,south,north,south,1995-01-03,30,47,60,69,55
879,east,west,east,1995-01-04,24,35,54,67,55
880,west,east,west,1995-01-05,27,39,60,72,52
881,north,south,north,1995-01-06,28,37,54,61,55
882,south,north,south,1995-01-07,26,45,64,70,48
883,east,west,east,1995-01-08,28,42,67,71,49
884,west,east,west,1995-01-09,18,39,54,65,46
885,north,south,north,1995-01-10,25,43,62,75,46
886,south,north,south,1995-01-11,20,40,60,66,57
887,east,west,east,1995-01-12,32,36,64,59,55
888,west,east,west,1995-01-13,25,44,57,61,49
889,north,south,north,1995-01-14,23,41,60,64,54
890,south,north,south,1995-01-15,24,41,63,64,49
891,east,west,east,1995-01-16,22,37,61,67,47
892,west,east,west,1995-01-17,22,43,56,66,52
893,north,south,north,1995-01-18,31,44,67,69,58
894,south,north,south,1995-01-19,22,49,53,64,52
895,east,west,east,1995-01-20,30,42,61,67,56
896,west,east,west,1995-01-21,22,45,55,59,57
897,north,south,north,1995-01-22,29,42,60,71,52
898,south,north,south,1995-01-23,27,39,57,68,57
899,east,west,east,1995-01-24,20,39,58,63,49
900,west,east,west,1995-01-25,16,34,59,64,41
901,north,south,north,1995-01-26,19,50,58,64,56
902,south,north,south,1995-01-27,25,48,61,73,46
903,east,west,east,1995-01-28,17,43,54,60,54
904,west,east,west,1995-01-29,17,43,58,65,55
905,north,south,north,1995-01-30,22,44,55,67,49
906,south,north,south,1995-01-31,31,39,54,65,52
907,east,west,east,1995-02-01,38,47,81,83,55
908,west,east,west,1995-02-02,28,58,85,85,75
909,north,south,north,1995-02-03,40,63,77,75,70
910,south,north,south,1995-02-04,31,62,89,96,64
911,east,west,east,1995-02-05,30,53,74,87,71
912,west,east,west,1995-02-06,25,49,78,80,64
913,north,south,north,1995-02-07,23,43,67,84,71
914,south,north,south,1995-02-08,33,52,70,89,61
915,east,west,east,1995-02-09,36,43,76,91,69
916,west,east,west,1995-02-10,37,56,76,93,66
917,north,south,north,1995-02-11,22,61,71,78,59
918,south,north,south,1995-02-12,33,57,74,96,57
919,east,west,east,1995-02-13,30,53,82,83,66
920,west,east,west,1995-02-14,36,48,71,78,51
921,north,south,north,1995-02-15,26,50,74,79,69
922,south,north,south,1995-02-16,34,62,86,84,59
923,east,west,east,1995-02-17,30,52,82,83,77
924,west,east,west,1995-02-18,30,51,72,93,71
925,north,south,north,1995-02-19,30,52,69,78,59
